latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
47.84409,131.16107,313.13,1,1,2024-03-18,01:41,T,73,6.1NRT,274.59,15.61,D
42.85063,130.44391,314.57,1,1,2024-03-18,01:41,T,30,6.1NRT,284.95,11.73,D
42.8013,130.39903,318.41,1,1,2024-03-18,01:41,T,78,6.1NRT,283.18,17.14,D
42.79951,130.411,313.45,1,1,2024-03-18,01:41,T,68,6.1NRT,282.23,13.26,D
42.85242,130.43195,322.68,1,1,2024-03-18,01:41,T,72,6.1NRT,284.88,19.04,D
42.99967,124.98642,308.12,1.38,1.16,2024-03-18,01:41,T,59,6.1NRT,279.86,14.16,D
42.37141,122.6382,304.5,1.81,1.32,2024-03-18,01:41,T,59,6.1NRT,281.67,14.92,D
48.11674,132.4127,306.01,1.01,1,2024-03-18,01:41,T,63,6.1NRT,273.23,10.79,D
42.86121,130.43434,328.36,1,1,2024-03-18,01:41,T,80,6.1NRT,285.37,23.75,D
42.86301,130.42236,331.33,1,1,2024-03-18,01:41,T,74,6.1NRT,286.09,27.75,D
42.87297,130.59967,303.95,1.01,1,2024-03-18,01:41,T,58,6.1NRT,280.09,8,D
42.88201,130.53975,300.32,1.01,1,2024-03-18,01:41,T,8,6.1NRT,282.78,4.83,D
42.88381,130.52776,303.2,1.01,1,2024-03-18,01:41,T,9,6.1NRT,283.9,5.85,D
42.95307,130.44049,312.04,1,1,2024-03-18,01:41,T,36,6.1NRT,282.87,9.17,D
42.96482,130.60611,312.05,1.01,1,2024-03-18,01:41,T,69,6.1NRT,275.52,13.22,D
43.25207,132.08997,300.93,1.06,1.03,2024-03-18,01:41,T,0,6.1NRT,278.55,7.21,D
46.88625,131.43903,304.66,1,1,2024-03-18,01:41,T,56,6.1NRT,272.92,9.95,D
46.88811,131.42625,300.09,1,1,2024-03-18,01:41,T,0,6.1NRT,272.1,6.96,D
47.45887,127.6871,308.47,1.19,1.09,2024-03-18,01:41,T,67,6.1NRT,272.39,17,D
36.98603,126.70653,309.71,1.03,1.02,2024-03-18,01:43,T,34,6.1NRT,293.55,7.52,D
37.05681,127.60689,302.02,1,1,2024-03-18,01:43,T,46,6.1NRT,289.55,4.21,D
37.42638,129.17717,302,1.02,1.01,2024-03-18,01:43,T,43,6.1NRT,286.72,5.09,D
37.48219,129.05783,305.57,1.01,1.01,2024-03-18,01:43,T,62,6.1NRT,287.88,7.49,D
37.47905,129.1382,307.11,1.02,1.01,2024-03-18,01:43,T,56,6.1NRT,288.3,7.8,D
38.88858,127.49475,307.96,1.02,1.01,2024-03-18,01:43,T,66,6.1NRT,290.96,7.07,D
42.36436,122.63113,300.08,1.81,1.32,2024-03-18,01:43,T,19,6.1NRT,281.82,8.23,D
41.28981,129.60226,304.24,1,1,2024-03-18,01:43,T,58,6.1NRT,286.99,5.73,D
41.70725,124.44405,300.46,1.41,1.18,2024-03-18,01:43,T,37,6.1NRT,280.5,9.77,D
41.74554,122.9493,300.03,1.71,1.28,2024-03-18,01:43,T,21,6.1NRT,281.74,9.95,D
