latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
33.72334,46.32592,301.99,3.13,1.68,2024-03-21,00:01,A,46,6.1NRT,274.77,49.81,N
33.73069,46.29416,300.46,3.11,1.67,2024-03-21,00:01,A,28,6.1NRT,276.05,45.03,N
33.72952,46.30106,305.36,3.11,1.67,2024-03-21,00:01,A,56,6.1NRT,276.34,55.66,N
31.03209,47.30423,325.94,4.25,1.91,2024-03-21,00:03,A,100,6.1NRT,284.21,220.35,N
31.27631,48.1356,303.38,4.75,1.99,2024-03-21,00:03,A,55,6.1NRT,283.53,76.59,N
32.11165,47.42771,300.03,4.05,1.87,2024-03-21,00:03,A,11,6.1NRT,283.03,50.78,N
10.34429,32.27623,317.46,1.07,1.03,2024-03-21,00:07,A,95,6.1NRT,291.42,15.28,N
10.35197,32.28724,303.99,1.07,1.03,2024-03-21,00:07,A,58,6.1NRT,289.86,5.49,N
10.35344,32.27765,305.63,1.07,1.03,2024-03-21,00:07,A,65,6.1NRT,290.82,6.54,N
10.9636,30.8731,312.03,1,1,2024-03-21,00:07,A,84,6.1NRT,289.87,10.07,N
9.36756,30.86037,302.88,1,1,2024-03-21,00:07,A,52,6.1NRT,291.63,4.05,N
9.5811,30.66698,303.88,1,1,2024-03-21,00:07,A,57,6.1NRT,286.21,5.48,N
10.33514,32.27481,332.81,1.07,1.03,2024-03-21,00:07,A,100,6.1NRT,292.46,34.3,N
9.49105,28.71135,304.55,1.09,1.04,2024-03-21,00:07,A,41,6.1NRT,292.7,5.42,N
9.49887,28.72238,318.98,1.09,1.04,2024-03-21,00:07,A,98,6.1NRT,294.01,17.73,N
9.50028,28.71268,314.31,1.09,1.04,2024-03-21,00:07,A,89,6.1NRT,293.76,12.65,N
9.10455,32.22222,307.12,1.09,1.04,2024-03-21,00:07,A,70,6.1NRT,294.63,5.86,N
9.36621,30.86933,306.06,1,1,2024-03-21,00:07,A,67,6.1NRT,292.05,5.89,N
9.15203,26.7215,317.16,1.39,1.17,2024-03-21,00:09,A,23,6.1NRT,291.37,21.19,N
9.1594,26.71685,308.8,1.39,1.17,2024-03-21,00:09,A,53,6.1NRT,284.39,11.84,N
35.02834,136.8745,305.47,2.87,1.62,2024-03-21,00:30,T,0,6.1NRT,285.54,30.17,D
45.58803,122.46462,306.64,1.08,1.04,2024-03-21,02:04,T,64,6.1NRT,283.88,7.8,D
