latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
46.88268,131.44086,307.39,1.01,1,2024-04-04,01:41,T,65,6.1NRT,285.03,8.78,D
47.71836,123.94605,313.74,1.68,1.27,2024-04-04,01:41,T,74,6.1NRT,287.61,23.37,D
47.71654,123.96808,309.95,1.67,1.27,2024-04-04,01:41,T,69,6.1NRT,286.64,17.46,D
47.38376,126.82537,302.81,1.22,1.1,2024-04-04,01:41,T,54,6.1NRT,284.9,6.34,D
47.49839,125.1652,305.64,1.45,1.19,2024-04-04,01:41,T,62,6.1NRT,290.71,7.69,D
47.60338,123.67149,302.21,1.73,1.29,2024-04-04,01:41,T,48,6.1NRT,287.8,8.08,D
47.22521,126.87386,302.45,1.21,1.09,2024-04-04,01:41,T,52,6.1NRT,283.39,6.8,D
50.82197,127.96497,319.78,1.22,1.1,2024-04-04,01:41,T,80,6.1NRT,281.37,24.77,D
49.72109,128.97803,304.38,1.1,1.05,2024-04-04,01:41,T,59,6.1NRT,279.31,9.59,D
49.70469,127.27448,302.34,1.25,1.11,2024-04-04,01:41,T,52,6.1NRT,280.43,9.74,D
49.70292,127.29119,312.68,1.25,1.11,2024-04-04,01:41,T,73,6.1NRT,281.05,19.04,D
49.69489,127.27193,333.09,1.25,1.11,2024-04-04,01:41,T,88,6.1NRT,282.09,48.46,D
49.69312,127.28876,303.07,1.25,1.11,2024-04-04,01:41,T,32,6.1NRT,280.29,9.29,D
48.75406,133.0681,301.7,1.03,1.01,2024-04-04,01:41,T,38,6.1NRT,279.2,6.21,D
48.72995,133.1024,317.22,1.03,1.02,2024-04-04,01:41,T,77,6.1NRT,282.48,17.89,D
48.94744,130.83362,304.93,1.01,1,2024-04-04,01:41,T,60,6.1NRT,281.57,8.2,D
48.95158,130.73711,303.09,1.01,1,2024-04-04,01:41,T,55,6.1NRT,281.99,6.99,D
48.77375,131.91528,332.79,1,1,2024-04-04,01:41,T,88,6.1NRT,281.41,35.2,D
48.75992,132.00784,302.81,1,1,2024-04-04,01:41,T,48,6.1NRT,282.75,6.38,D
48.74721,132.03136,332.83,1,1,2024-04-04,01:41,T,88,6.1NRT,283.68,33.44,D
48.71942,132.0856,325.69,1,1,2024-04-04,01:41,T,55,6.1NRT,283.36,22.89,D
48.71664,132.04297,311.91,1,1,2024-04-04,01:41,T,42,6.1NRT,280.77,10.63,D
48.68643,132.06056,317.82,1,1,2024-04-04,01:41,T,38,6.1NRT,281.01,14.08,D
48.68045,132.10023,381.89,1.01,1,2024-04-04,01:41,T,100,6.1NRT,289.63,155.59,D
48.67769,132.0576,346.17,1,1,2024-04-04,01:41,T,92,6.1NRT,284.38,52.16,D
48.6757,132.07083,401.31,1,1,2024-04-04,01:41,T,100,6.1NRT,292.5,258.82,D
48.67371,132.08405,371.76,1,1,2024-04-04,01:41,T,93,6.1NRT,287.77,117.02,D
48.67171,132.09727,358.27,1.01,1,2024-04-04,01:41,T,68,6.1NRT,286.09,74.85,D
48.66695,132.06787,383,1,1,2024-04-04,01:41,T,100,6.1NRT,287.41,165.08,D
48.66496,132.0811,381.87,1,1,2024-04-04,01:41,T,100,6.1NRT,285.9,159.03,D
48.66296,132.09431,352,1.01,1,2024-04-04,01:41,T,59,6.1NRT,281.25,62.66,D
48.65897,132.12076,321.98,1.01,1,2024-04-04,01:41,T,27,6.1NRT,281.32,18.31,D
49.02702,127.05177,300.46,1.25,1.11,2024-04-04,01:41,T,25,6.1NRT,278.1,8.02,D
49.00014,127.40174,333.68,1.21,1.1,2024-04-04,01:41,T,89,6.1NRT,279.36,47.86,D
48.43863,132.09641,339.25,1.01,1,2024-04-04,01:41,T,91,6.1NRT,276.82,42.24,D
48.44062,132.08322,350.51,1.01,1,2024-04-04,01:41,T,96,6.1NRT,283.25,64.93,D
48.44262,132.07004,324.73,1.01,1,2024-04-04,01:41,T,80,6.1NRT,284.32,23.18,D
48.44938,132.08617,363.31,1.01,1,2024-04-04,01:41,T,100,6.1NRT,284.27,96.36,D
45.85366,130.42438,300.99,1,1,2024-04-04,01:41,T,44,6.1NRT,285.01,4.31,D
46.70937,123.10812,308.54,1.8,1.32,2024-04-04,01:41,T,67,6.1NRT,291.98,10.87,D
46.65782,125.69315,328.38,1.34,1.15,2024-04-04,01:41,T,86,6.1NRT,289.34,37.64,D
46.65957,125.67591,317.06,1.34,1.15,2024-04-04,01:41,T,67,6.1NRT,288.47,20.17,D
48.64822,132.13103,361.02,1.01,1,2024-04-04,01:41,T,100,6.1NRT,284.04,89.19,D
46.66973,125.67798,311.09,1.34,1.15,2024-04-04,01:41,T,32,6.1NRT,287.87,12.63,D
46.68908,125.67104,304.72,1.34,1.15,2024-04-04,01:41,T,60,6.1NRT,286.95,7.72,D
46.92954,123.16173,308.46,1.8,1.32,2024-04-04,01:41,T,43,6.1NRT,290.19,12.25,D
46.74881,125.48729,301.6,1.37,1.16,2024-04-04,01:41,T,47,6.1NRT,287.07,4.95,D
46.94275,123.44297,310.58,1.74,1.29,2024-04-04,01:41,T,70,6.1NRT,292.51,15.72,D
46.95692,123.67702,303.36,1.69,1.28,2024-04-04,01:41,T,40,6.1NRT,288.37,4.67,D
47.00802,123.321,303.17,1.77,1.3,2024-04-04,01:41,T,43,6.1NRT,288.17,4.56,D
46.82042,125.68647,319.05,1.34,1.15,2024-04-04,01:41,T,79,6.1NRT,288.94,23.43,D
48.64622,132.14423,369.74,1.01,1,2024-04-04,01:41,T,100,6.1NRT,285.69,115.22,D
48.37739,132.79517,308.12,1.03,1.01,2024-04-04,01:41,T,67,6.1NRT,280.84,9.68,D
48.37526,132.80856,325.95,1.03,1.01,2024-04-04,01:41,T,84,6.1NRT,281.39,26.1,D
48.37314,132.82196,325.69,1.03,1.01,2024-04-04,01:41,T,84,6.1NRT,281.11,25.34,D
46.89379,124.92649,305.52,1.46,1.19,2024-04-04,01:41,T,51,6.1NRT,289.68,8.27,D
46.84574,126.23199,301.86,1.27,1.12,2024-04-04,01:41,T,49,6.1NRT,286.44,6.14,D
46.88108,126.0877,307.65,1.29,1.13,2024-04-04,01:41,T,61,6.1NRT,289.54,7.85,D
46.88934,126.10635,304.58,1.29,1.13,2024-04-04,01:41,T,22,6.1NRT,289.73,4.66,D
47.06091,124.8544,312.9,1.48,1.2,2024-04-04,01:41,T,73,6.1NRT,292.34,15.18,D
47.20924,123.36597,308.6,1.77,1.3,2024-04-04,01:41,T,31,6.1NRT,292.15,7.9,D
47.19434,124.10134,311.04,1.62,1.25,2024-04-04,01:41,T,56,6.1NRT,285.77,20.75,D
47.19418,124.10856,316.96,1.62,1.25,2024-04-04,01:41,T,77,6.1NRT,285.69,31.39,D
47.15121,124.74035,308.56,1.5,1.21,2024-04-04,01:41,T,63,6.1NRT,292.79,9.71,D
47.2053,124.11049,302.39,1.62,1.25,2024-04-04,01:41,T,15,6.1NRT,286.44,8.72,D
47.07047,126.1237,318.37,1.29,1.13,2024-04-04,01:41,T,78,6.1NRT,288.78,20.98,D
47.07222,126.10686,315.03,1.3,1.13,2024-04-04,01:41,T,75,6.1NRT,288.53,16.74,D
47.0975,126.06065,308.25,1.3,1.13,2024-04-04,01:41,T,39,6.1NRT,288.8,9.02,D
47.09621,126.06636,313.28,1.3,1.13,2024-04-04,01:41,T,73,6.1NRT,288.55,14.81,D
46.32394,132.21674,306.61,1.04,1.02,2024-04-04,01:41,T,21,6.1NRT,283.72,7.36,D
46.33018,132.17767,302.93,1.04,1.02,2024-04-04,01:41,T,15,6.1NRT,282.98,4.59,D
47.38718,123.0972,307.57,1.84,1.33,2024-04-04,01:41,T,58,6.1NRT,291.77,9.83,D
47.24062,124.999,335.17,1.46,1.2,2024-04-04,01:41,T,89,6.1NRT,292.16,58.97,D
46.20905,133.09004,300.1,1.09,1.04,2024-04-04,01:41,T,20,6.1NRT,281.3,6.84,D
47.41227,123.64997,302.57,1.72,1.29,2024-04-04,01:41,T,30,6.1NRT,289.14,10.12,D
47.17942,126.34652,302.17,1.27,1.12,2024-04-04,01:41,T,51,6.1NRT,285.23,6.1,D
47.18113,126.33001,311.78,1.27,1.12,2024-04-04,01:41,T,72,6.1NRT,285.99,14.79,D
47.47913,123.68378,307.22,1.72,1.29,2024-04-04,01:41,T,63,6.1NRT,288.7,13.15,D
47.4044,124.67971,303.69,1.53,1.22,2024-04-04,01:41,T,57,6.1NRT,289.45,7.58,D
53.05172,126.54869,306.17,1.48,1.2,2024-04-04,01:41,T,63,6.1NRT,276.56,18.71,D
53.0498,126.57043,310.01,1.47,1.2,2024-04-04,01:41,T,69,6.1NRT,277.11,22.93,D
52.26637,129.31703,310.45,1.14,1.06,2024-04-04,01:41,T,70,6.1NRT,279.82,14.84,D
51.25589,128.30795,318.53,1.2,1.09,2024-04-04,01:41,T,79,6.1NRT,280.89,23.97,D
51.2541,128.32478,320.25,1.2,1.09,2024-04-04,01:41,T,80,6.1NRT,280.32,26.21,D
51.25192,128.31821,328.05,1.2,1.09,2024-04-04,01:41,T,85,6.1NRT,280.72,37.81,D
48.46618,132.04301,327.53,1.01,1,2024-04-04,01:41,T,44,6.1NRT,284.62,23.56,D
48.46218,132.06935,334.27,1.01,1,2024-04-04,01:41,T,72,6.1NRT,281.82,32.63,D
48.45535,132.04663,306.65,1.01,1,2024-04-04,01:41,T,24,6.1NRT,283.18,7.15,D
48.45336,132.05981,326.91,1.01,1,2024-04-04,01:41,T,85,6.1NRT,282.67,25.18,D
48.45137,132.07298,339.62,1.01,1,2024-04-04,01:41,T,71,6.1NRT,283.54,41.4,D
49.01719,127.04945,313.9,1.25,1.11,2024-04-04,01:41,T,74,6.1NRT,278.6,20.81,D
48.35657,132.15184,302.01,1.01,1,2024-04-04,01:41,T,23,6.1NRT,283.01,5.42,D
48.35455,132.16501,308.67,1.01,1,2024-04-04,01:41,T,66,6.1NRT,284.19,9.56,D
48.35254,132.17819,313.87,1.01,1,2024-04-04,01:41,T,74,6.1NRT,285.44,13.43,D
48.35052,132.19139,311.24,1.01,1,2024-04-04,01:41,T,71,6.1NRT,284.88,10.98,D
48.33756,132.2088,304.69,1.01,1,2024-04-04,01:41,T,48,6.1NRT,284.34,7.48,D
48.33554,132.22202,311.28,1.01,1,2024-04-04,01:41,T,71,6.1NRT,283.32,12.47,D
48.33353,132.23523,310.88,1.01,1,2024-04-04,01:41,T,69,6.1NRT,281.18,12.1,D
48.33151,132.24843,302.5,1.01,1.01,2024-04-04,01:41,T,38,6.1NRT,279,6.61,D
48.99358,127.0723,300.99,1.25,1.11,2024-04-04,01:41,T,43,6.1NRT,278.6,9.93,D
49.03543,126.57233,302.36,1.31,1.14,2024-04-04,01:41,T,52,6.1NRT,279.2,11.16,D
48.32333,132.12082,317.1,1.01,1,2024-04-04,01:41,T,69,6.1NRT,282.51,15.98,D
48.32133,132.134,306.79,1.01,1,2024-04-04,01:41,T,20,6.1NRT,279.47,8.3,D
48.99654,126.6527,320.47,1.3,1.13,2024-04-04,01:41,T,80,6.1NRT,279.31,30.72,D
48.99478,126.67016,301.8,1.3,1.13,2024-04-04,01:41,T,49,6.1NRT,278.92,10.22,D
48.2325,132.16672,300.56,1.01,1,2024-04-04,01:41,T,39,6.1NRT,279.42,6.1,D
48.20119,131.94904,327.33,1.01,1,2024-04-04,01:41,T,85,6.1NRT,285.63,26.12,D
48.1992,131.96214,350.43,1.01,1,2024-04-04,01:41,T,96,6.1NRT,287.06,64.67,D
48.19016,131.95314,388.4,1.01,1,2024-04-04,01:41,T,100,6.1NRT,290.18,193.54,D
48.18818,131.96626,358.43,1.01,1,2024-04-04,01:41,T,99,6.1NRT,284.97,83.58,D
48.11351,132.45367,312.32,1.02,1.01,2024-04-04,01:41,T,72,6.1NRT,283.61,14.26,D
48.11146,132.46692,315.02,1.02,1.01,2024-04-04,01:41,T,75,6.1NRT,284.48,16.38,D
48.12927,132.29208,302.46,1.01,1.01,2024-04-04,01:41,T,52,6.1NRT,282.76,6.63,D
48.12724,132.30528,300.36,1.01,1.01,2024-04-04,01:41,T,35,6.1NRT,282.15,5.6,D
48.10472,132.45067,336.88,1.02,1.01,2024-04-04,01:41,T,90,6.1NRT,282.9,40.92,D
48.10266,132.4639,346.51,1.02,1.01,2024-04-04,01:41,T,95,6.1NRT,283.51,58.05,D
49.04162,123.97157,301.39,1.74,1.29,2024-04-04,01:41,T,47,6.1NRT,287.56,9.26,D
48.10455,131.90422,304.61,1.01,1,2024-04-04,01:41,T,59,6.1NRT,282.97,7.22,D
47.91364,131.05977,322.24,1,1,2024-04-04,01:41,T,81,6.1NRT,286.2,19.92,D
47.91177,131.07277,361.86,1,1,2024-04-04,01:41,T,100,6.1NRT,288.45,91.8,D
48.79846,122.46777,303.03,2.07,1.4,2024-04-04,01:41,T,55,6.1NRT,281.23,22.46,D
47.90302,131.07002,384.29,1,1,2024-04-04,01:41,T,100,6.1NRT,288.75,171.29,D
47.90114,131.08302,336.84,1,1,2024-04-04,01:41,T,90,6.1NRT,282.55,37.99,D
47.64872,132.50656,301.04,1.03,1.01,2024-04-04,01:41,T,24,6.1NRT,281.97,4.12,D
47.78476,131.55574,324.98,1,1,2024-04-04,01:41,T,79,6.1NRT,283.66,22.37,D
47.77408,131.5659,320.12,1,1,2024-04-04,01:41,T,80,6.1NRT,283.38,17.41,D
