latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
46.57628,132.42639,310.17,1.85,1.33,2024-05-07,01:02,T,70,6.1NRT,290.45,17.85,D
48.35622,132.67847,308.41,1.89,1.34,2024-05-07,01:02,T,67,6.1NRT,293.26,15.88,D
48.35446,132.70335,309.01,1.88,1.34,2024-05-07,01:02,T,68,6.1NRT,291.52,17.77,D
48.34848,132.69659,311.91,1.88,1.34,2024-05-07,01:02,T,66,6.1NRT,290.75,22.06,D
48.22884,134.15468,306.47,1.58,1.24,2024-05-07,01:02,T,64,6.1NRT,290.82,8.19,D
48.30815,132.58954,304.32,1.9,1.35,2024-05-07,01:02,T,32,6.1NRT,292.53,9.88,D
47.87471,133.78612,302.75,1.63,1.26,2024-05-07,01:02,T,50,6.1NRT,289.7,11.34,D
48.21856,126.05889,313.25,4.28,1.91,2024-05-07,01:02,T,48,6.1NRT,299.51,52.45,D
47.86288,134.4593,320.57,1.51,1.21,2024-05-07,01:02,T,80,6.1NRT,290.53,32.21,D
47.86464,134.43945,312.51,1.51,1.21,2024-05-07,01:02,T,71,6.1NRT,290.4,19.41,D
47.99054,134.03474,306.28,1.59,1.24,2024-05-07,01:02,T,50,6.1NRT,289.71,13.02,D
47.95328,134.93628,305.39,1.43,1.18,2024-05-07,01:02,T,61,6.1NRT,290.03,6.48,D
48.06112,134.01076,310.28,1.6,1.24,2024-05-07,01:02,T,38,6.1NRT,290.85,11.77,D
47.96043,135.26511,306.19,1.39,1.17,2024-05-07,01:02,T,45,6.1NRT,290.6,7.33,D
48.07214,134.01274,319.13,1.6,1.24,2024-05-07,01:02,T,79,6.1NRT,291.31,26.77,D
48.10489,133.88921,307.13,1.62,1.25,2024-05-07,01:02,T,65,6.1NRT,291.48,8.78,D
48.13713,133.49437,313.09,1.7,1.28,2024-05-07,01:02,T,0,6.1NRT,295.81,14.24,D
48.19648,132.71713,312.01,1.87,1.34,2024-05-07,01:02,T,72,6.1NRT,290.95,24.05,D
48.12679,133.76164,314.47,1.65,1.26,2024-05-07,01:02,T,75,6.1NRT,291.06,18.83,D
48.13797,133.7636,318.55,1.65,1.26,2024-05-07,01:02,T,79,6.1NRT,291.94,26.72,D
48.29617,132.58806,305.05,1.9,1.35,2024-05-07,01:02,T,42,6.1NRT,291.49,11.61,D
47.69308,131.59845,314.14,2.12,1.41,2024-05-07,01:02,T,0,6.1NRT,294,23.49,D
47.68052,131.59677,325.24,2.12,1.41,2024-05-07,01:02,T,0,6.1NRT,292.92,55.81,D
47.69176,131.59222,315.54,2.12,1.41,2024-05-07,01:02,T,0,6.1NRT,294.99,27.62,D
47.6792,131.59059,328.33,2.12,1.41,2024-05-07,01:02,T,0,6.1NRT,292.94,68.91,D
47.44179,133.25761,322.48,1.71,1.28,2024-05-07,01:02,T,82,6.1NRT,291.01,42.41,D
47.4618,132.44655,311.35,1.89,1.34,2024-05-07,01:02,T,71,6.1NRT,293.89,10.41,D
47.38778,132.63286,310.34,1.85,1.33,2024-05-07,01:02,T,40,6.1NRT,293.65,10.8,D
47.05877,132.50783,311.86,1.86,1.33,2024-05-07,01:02,T,72,6.1NRT,291.12,18.68,D
47.05693,132.53186,307.84,1.85,1.33,2024-05-07,01:02,T,66,6.1NRT,291.43,11.52,D
47.03064,132.71973,310.51,1.81,1.32,2024-05-07,01:02,T,70,6.1NRT,292.28,13.06,D
47.03754,132.30754,311.48,1.9,1.35,2024-05-07,01:02,T,71,6.1NRT,292.98,16.33,D
46.98935,131.88449,311.13,2,1.38,2024-05-07,01:02,T,71,6.1NRT,295.6,14.59,D
53.51383,126.88732,304.41,4.11,1.88,2024-05-07,01:02,T,59,6.1NRT,291.19,31.98,D
53.50925,126.87843,304.26,4.11,1.88,2024-05-07,01:02,T,51,6.1NRT,291.08,31.83,D
51.96437,140.31416,309.61,1.04,1.02,2024-05-07,01:02,T,0,6.1NRT,285.14,10.9,D
51.59252,139.65929,317.15,1.07,1.03,2024-05-07,01:02,T,77,6.1NRT,287.07,16.46,D
51.59069,139.67433,307.86,1.07,1.03,2024-05-07,01:02,T,66,6.1NRT,287.54,8.47,D
