latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
51.14381,37.93454,301.99,1,1,2024-05-18,00:18,A,46,6.1NRT,278.15,8.89,N
52.53733,39.63927,313.82,1.01,1,2024-05-18,00:18,A,84,6.1NRT,280.12,15.24,N
52.53959,39.62495,306.73,1.01,1,2024-05-18,00:18,A,40,6.1NRT,280.41,9.99,N
52.54604,39.64292,303.62,1.01,1,2024-05-18,00:18,A,36,6.1NRT,280.55,8.25,N
52.55729,39.57135,308.3,1.01,1,2024-05-18,00:18,A,74,6.1NRT,280.76,12.17,N
54.16837,37.72716,315.79,1.03,1.02,2024-05-18,00:18,A,92,6.1NRT,279.94,19.04,N
54.17044,37.71177,315.55,1.03,1.02,2024-05-18,00:18,A,91,6.1NRT,279.04,18.83,N
31.12721,29.81228,305.64,1.05,1.03,2024-05-18,00:22,A,65,6.1NRT,294.49,5.91,N
52.46484,126.65012,327.69,1.08,1.04,2024-05-18,01:52,T,68,6.1NRT,288.18,24.06,D
52.62358,126.469,360.41,1.1,1.05,2024-05-18,01:52,T,100,6.1NRT,294.03,97.28,D
52.59591,126.48617,317.8,1.1,1.04,2024-05-18,01:52,T,51,6.1NRT,287.1,15.39,D
52.5795,126.46452,343.83,1.1,1.04,2024-05-18,01:52,T,93,6.1NRT,293.69,52.37,D
52.57759,126.48046,322.83,1.1,1.04,2024-05-18,01:52,T,77,6.1NRT,290.66,20.45,D
52.57406,126.43031,321.89,1.1,1.05,2024-05-18,01:52,T,81,6.1NRT,293.34,18.24,D
52.57034,126.46165,357.2,1.1,1.04,2024-05-18,01:52,T,99,6.1NRT,294.19,84.49,D
52.56844,126.47758,341.49,1.1,1.04,2024-05-18,01:52,T,92,6.1NRT,291.35,48.57,D
52.5572,126.57174,310.12,1.09,1.04,2024-05-18,01:52,T,28,6.1NRT,287.03,8.62,D
52.5553,126.58755,309.56,1.09,1.04,2024-05-18,01:52,T,44,6.1NRT,288.06,8.8,D
52.55342,126.60321,313.48,1.09,1.04,2024-05-18,01:52,T,54,6.1NRT,287.16,11.39,D
52.54966,126.63443,318.87,1.09,1.04,2024-05-18,01:52,T,59,6.1NRT,290.61,16,D
52.54779,126.65002,319.73,1.09,1.04,2024-05-18,01:52,T,58,6.1NRT,293.4,17.18,D
52.56305,126.44305,332.91,1.1,1.05,2024-05-18,01:52,T,72,6.1NRT,294.79,30.64,D
52.56118,126.45882,328.53,1.1,1.04,2024-05-18,01:52,T,66,6.1NRT,288.53,24.8,D
52.53494,126.67822,346.3,1.08,1.04,2024-05-18,01:52,T,66,6.1NRT,294.8,54.71,D
52.53306,126.69381,356.7,1.08,1.04,2024-05-18,01:52,T,94,6.1NRT,291.21,79.79,D
52.55202,126.45596,327.95,1.1,1.04,2024-05-18,01:52,T,85,6.1NRT,289.66,25.6,D
52.55014,126.47184,310.67,1.1,1.04,2024-05-18,01:52,T,58,6.1NRT,286.43,8.24,D
52.55225,126.29174,331.95,1.11,1.05,2024-05-18,01:52,T,50,6.1NRT,290.22,31.43,D
52.50019,126.73165,374.71,1.08,1.04,2024-05-18,01:52,T,93,6.1NRT,297.39,141.09,D
52.46093,127.05372,314.8,1.06,1.03,2024-05-18,01:52,T,75,6.1NRT,287.02,13.29,D
52.45905,127.06892,313.95,1.06,1.03,2024-05-18,01:52,T,74,6.1NRT,287.76,12.65,D
52.54118,126.305,329.48,1.11,1.05,2024-05-18,01:52,T,56,6.1NRT,288.22,27.85,D
52.52082,126.47904,358.96,1.1,1.04,2024-05-18,01:52,T,94,6.1NRT,293.99,90.71,D
52.49112,126.72874,378.73,1.08,1.04,2024-05-18,01:52,T,100,6.1NRT,295.13,157.85,D
52.53197,126.30226,342.14,1.11,1.05,2024-05-18,01:52,T,93,6.1NRT,287.17,51.03,D
52.53012,126.31818,365.44,1.11,1.05,2024-05-18,01:52,T,100,6.1NRT,293.22,113.81,D
52.52829,126.33401,341.56,1.1,1.05,2024-05-18,01:52,T,90,6.1NRT,292.72,48.8,D
52.52645,126.34982,334.56,1.1,1.05,2024-05-18,01:52,T,89,6.1NRT,290.46,37.09,D
52.51168,126.47619,322.4,1.1,1.04,2024-05-18,01:52,T,55,6.1NRT,283.98,17.73,D
52.48576,126.6948,328.1,1.08,1.04,2024-05-18,01:52,T,20,6.1NRT,286.83,22.18,D
52.48389,126.7104,345.8,1.08,1.04,2024-05-18,01:52,T,44,6.1NRT,291.69,50.9,D
52.5245,126.31065,335.54,1.11,1.05,2024-05-18,01:52,T,90,6.1NRT,285.75,41.34,D
52.52262,126.32648,339.8,1.1,1.05,2024-05-18,01:52,T,92,6.1NRT,288.56,47.21,D
52.52076,126.34221,345.12,1.1,1.05,2024-05-18,01:52,T,94,6.1NRT,290.07,59.66,D
52.50002,126.51553,315.76,1.09,1.04,2024-05-18,01:52,T,66,6.1NRT,287.1,13.62,D
52.47735,126.70251,314.84,1.08,1.04,2024-05-18,01:52,T,45,6.1NRT,290.63,12.15,D
52.47545,126.71805,313.6,1.08,1.04,2024-05-18,01:52,T,74,6.1NRT,288.01,12.14,D
52.47394,126.65299,331.01,1.08,1.04,2024-05-18,01:52,T,82,6.1NRT,292.23,31.39,D
52.47204,126.66861,317.87,1.08,1.04,2024-05-18,01:52,T,21,6.1NRT,287.33,13.99,D
52.47015,126.68416,381.95,1.08,1.04,2024-05-18,01:52,T,87,6.1NRT,296.87,178.22,D
52.46827,126.69964,376.51,1.08,1.04,2024-05-18,01:52,T,94,6.1NRT,295.85,153.22,D
52.49112,126.43136,351.58,1.1,1.04,2024-05-18,01:52,T,84,6.1NRT,285.63,71.16,D
52.48926,126.44698,358.98,1.1,1.04,2024-05-18,01:52,T,75,6.1NRT,289.86,89.25,D
52.48009,126.44426,373.73,1.1,1.04,2024-05-18,01:52,T,87,6.1NRT,295.41,141.07,D
