latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
12.2238,36.36408,303.87,1.38,1.16,2024-04-09,00:01,A,57,6.1NRT,291.58,7.47,N
12.22595,36.35039,308.96,1.37,1.16,2024-04-09,00:01,A,76,6.1NRT,290.46,12.92,N
12.22324,36.35648,313.48,1.37,1.16,2024-04-09,00:01,A,87,6.1NRT,291.66,17.78,N
9.88744,33.62733,303.71,1.06,1.03,2024-04-09,00:01,A,57,6.1NRT,290.55,6.04,N
10.20388,31.59027,302.08,1.01,1.01,2024-04-09,00:01,A,5,6.1NRT,291.29,3.57,N
12.96034,35.60732,306.16,1.21,1.09,2024-04-09,00:01,A,67,6.1NRT,291.94,8.08,N
13.70671,33.47245,303.53,1.01,1,2024-04-09,00:01,A,52,6.1NRT,290.21,4.98,N
10.20521,31.58122,307.84,1.01,1.01,2024-04-09,00:01,A,73,6.1NRT,291.42,7.13,N
10.21412,31.58254,305.94,1.01,1.01,2024-04-09,00:01,A,37,6.1NRT,290.88,5.84,N
10.33712,32.18245,302.38,1,1,2024-04-09,00:01,A,49,6.1NRT,291.85,4.41,N
10.33845,32.1735,304.12,1,1,2024-04-09,00:01,A,59,6.1NRT,291.95,5.57,N
10.41281,32.41084,321.6,1,1,2024-04-09,00:01,A,100,6.1NRT,290.79,18.93,N
10.42167,32.41217,302.43,1,1,2024-04-09,00:01,A,49,6.1NRT,289.9,4.35,N
10.51888,32.13971,304.66,1,1,2024-04-09,00:01,A,61,6.1NRT,289.5,6.3,N
10.52163,35.19114,312.2,1.23,1.1,2024-04-09,00:01,A,84,6.1NRT,294.11,11.8,N
10.30479,36.77733,302.98,1.58,1.24,2024-04-09,00:01,A,38,6.1NRT,288.5,9.68,N
11.29266,30.49527,312.56,1.11,1.05,2024-04-09,00:01,A,85,6.1NRT,293.88,11.82,N
13.71558,33.47383,308.88,1.01,1,2024-04-09,00:01,A,76,6.1NRT,290.24,8.56,N
10.52795,35.80254,300.03,1.34,1.15,2024-04-09,00:01,A,10,6.1NRT,288.47,7.52,N
11.33665,32.46529,318.46,1,1,2024-04-09,00:01,A,97,6.1NRT,290.05,16.88,N
11.87787,30.84399,305.24,1.09,1.04,2024-04-09,00:01,A,63,6.1NRT,294.18,5.77,N
11.69014,35.65368,301.76,1.26,1.12,2024-04-09,00:01,A,9,6.1NRT,291.27,5.24,N
11.68981,35.66039,303.54,1.26,1.12,2024-04-09,00:01,A,29,6.1NRT,290.76,6.74,N
12.14793,36.31323,303.94,1.37,1.16,2024-04-09,00:01,A,29,6.1NRT,293.58,7.4,N
13.17148,33.03984,312.4,1,1,2024-04-09,00:01,A,85,6.1NRT,291.1,11.29,N
50.42956,128.29041,302.39,1.06,1.03,2024-04-09,01:47,T,34,6.1NRT,281.81,6.38,D
49.00299,136.06827,305.79,1.44,1.19,2024-04-09,01:47,T,62,6.1NRT,278.79,14.78,D
48.99925,136.08701,327.39,1.45,1.19,2024-04-09,01:47,T,80,6.1NRT,279.07,47.12,D
48.99285,136.06358,311.14,1.44,1.19,2024-04-09,01:47,T,47,6.1NRT,278.87,21,D
48.9891,136.08231,325.69,1.45,1.19,2024-04-09,01:47,T,0,6.1NRT,278.87,43.59,D
49.75036,130.04385,331.37,1,1,2024-04-09,01:47,T,87,6.1NRT,283.98,32.59,D
53.65114,126.68739,300.25,1.28,1.12,2024-04-09,01:47,T,29,6.1NRT,279.04,9.3,D
53.0407,126.68872,318.87,1.26,1.12,2024-04-09,01:47,T,79,6.1NRT,277.98,26.05,D
53.03878,126.70729,305.02,1.26,1.11,2024-04-09,01:47,T,24,6.1NRT,276.77,11.03,D
52.92889,127.72807,334.48,1.16,1.07,2024-04-09,01:47,T,89,6.1NRT,282.6,46,D
52.92699,127.74494,352.74,1.16,1.07,2024-04-09,01:47,T,97,6.1NRT,282.6,87.48,D
52.94072,126.76858,300.5,1.25,1.11,2024-04-09,01:47,T,38,6.1NRT,282.36,7.47,D
52.93882,126.7868,323.17,1.25,1.11,2024-04-09,01:47,T,82,6.1NRT,284.37,31.47,D
52.85759,126.5887,304.8,1.26,1.12,2024-04-09,01:47,T,53,6.1NRT,278.71,10.87,D
53.07291,117.46175,302.77,3.37,1.73,2024-04-09,01:47,T,47,6.1NRT,288.82,34.49,D
53.07715,117.45435,302.44,3.37,1.73,2024-04-09,01:47,T,51,6.1NRT,287.45,35.01,D
52.34631,117.55877,309.65,3.3,1.72,2024-04-09,01:47,T,46,6.1NRT,279.52,52.11,D
51.87451,118.4127,300.91,2.97,1.64,2024-04-09,01:47,T,29,6.1NRT,274.68,32.2,D
51.87318,118.45473,307.3,2.96,1.64,2024-04-09,01:47,T,64,6.1NRT,273.11,50.09,D
51.87186,118.44887,310.42,2.96,1.64,2024-04-09,01:47,T,66,6.1NRT,273.19,64.91,D
51.71951,119.31897,300.64,2.66,1.57,2024-04-09,01:47,T,30,6.1NRT,265.51,37.96,D
