latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
14.7411,120.88558,313.66,2.13,1.42,2024-05-22,01:28,T,44,6.1NRT,290.28,18.7,D
14.20501,121.1321,321.83,2,1.38,2024-05-22,01:28,T,73,6.1NRT,293.62,19.57,D
14.19908,121.14282,322.52,2,1.38,2024-05-22,01:28,T,63,6.1NRT,293.68,21.08,D
13.52599,122.12317,311.84,1.65,1.26,2024-05-22,01:28,T,51,6.1NRT,296.42,13.03,D
9.49131,123.92399,311.48,1.12,1.06,2024-05-22,01:28,T,49,6.1NRT,294.31,9.18,D
11.20589,123.82665,316.95,1.19,1.08,2024-05-22,01:28,T,64,6.1NRT,301.36,12.14,D
13.52398,122.13102,311.95,1.64,1.26,2024-05-22,01:28,T,39,6.1NRT,296.31,11.76,D
14.74341,120.8662,313.88,2.14,1.42,2024-05-22,01:28,T,45,6.1NRT,290.09,20.28,D
59.6409,108.12832,306.17,1.63,1.26,2024-05-22,02:53,T,63,6.1NRT,291.66,10.97,D
60.42208,96.4919,316.39,4.82,2,2024-05-22,02:53,T,77,6.1NRT,278.25,165.37,D
60.4208,96.49812,316.82,4.82,2,2024-05-22,02:53,T,77,6.1NRT,277.61,169.17,D
60.14633,109.10664,313.91,1.52,1.22,2024-05-22,02:53,T,74,6.1NRT,290.64,22.89,D
60.14844,109.07988,304.01,1.53,1.22,2024-05-22,02:53,T,58,6.1NRT,288.3,10.48,D
60.83871,97.33667,303.43,4.47,1.94,2024-05-22,02:53,T,53,6.1NRT,286.89,51.32,D
60.83987,97.34613,307.65,4.47,1.94,2024-05-22,02:53,T,66,6.1NRT,286.95,74.58,D
60.47972,109.88815,307.91,1.44,1.19,2024-05-22,02:53,T,66,6.1NRT,292.56,10.75,D
60.35432,111.69902,305.01,1.26,1.11,2024-05-22,02:53,T,60,6.1NRT,288.84,8.75,D
61.34604,112.82945,312.02,1.21,1.09,2024-05-22,02:53,T,72,6.1NRT,291.78,13.35,D
61.34828,112.80755,353.03,1.21,1.09,2024-05-22,02:53,T,97,6.1NRT,297.12,90.09,D
61.46037,113.00091,302.07,1.2,1.09,2024-05-22,02:53,T,51,6.1NRT,289.45,5.27,D
62.43992,113.66712,308.75,1.19,1.08,2024-05-22,02:53,T,68,6.1NRT,289.64,10.09,D
62.45169,113.64929,300.53,1.19,1.08,2024-05-22,02:53,T,17,6.1NRT,289.61,3.84,D
62.45402,113.62668,302.2,1.19,1.09,2024-05-22,02:53,T,23,6.1NRT,289.28,4.75,D
63.86905,122.70342,305.62,1.03,1.01,2024-05-22,02:53,T,28,6.1NRT,290.64,7.46,D
59.64145,108.12103,303.58,1.63,1.26,2024-05-22,02:53,T,47,6.1NRT,291.17,7.47,D
57.87707,105.86291,304.1,1.91,1.35,2024-05-22,02:56,T,58,6.1NRT,289.43,15.8,D
58.45344,107.60873,312.55,1.65,1.26,2024-05-22,02:56,T,72,6.1NRT,293.26,21,D
58.42191,107.57291,312.65,1.65,1.26,2024-05-22,02:56,T,73,6.1NRT,287.88,20.65,D
58.41998,107.59972,304.07,1.65,1.26,2024-05-22,02:56,T,21,6.1NRT,290.13,8,D
58.42275,107.39989,305.05,1.68,1.27,2024-05-22,02:56,T,45,6.1NRT,291.7,9.3,D
58.41315,107.39042,307.92,1.68,1.27,2024-05-22,02:56,T,64,6.1NRT,291.66,12.37,D
58.13867,107.10276,310.04,1.71,1.28,2024-05-22,02:56,T,69,6.1NRT,290.46,18.71,D
58.07596,107.17428,327.59,1.69,1.28,2024-05-22,02:56,T,85,6.1NRT,292,52.96,D
58.07402,107.20225,302.27,1.69,1.28,2024-05-22,02:56,T,45,6.1NRT,290.31,6.61,D
58.07811,107.16711,320.76,1.69,1.28,2024-05-22,02:56,T,80,6.1NRT,291.66,35.39,D
58.07604,107.19515,313.79,1.69,1.28,2024-05-22,02:56,T,74,6.1NRT,291.06,22.93,D
58.05956,107.10477,315.2,1.7,1.28,2024-05-22,02:56,T,75,6.1NRT,291.04,25.87,D
58.04003,106.53637,303.06,1.8,1.31,2024-05-22,02:56,T,55,6.1NRT,291.24,12.76,D
58.03809,106.56619,302.96,1.79,1.31,2024-05-22,02:56,T,54,6.1NRT,291.37,12.28,D
58.03055,106.55883,305.74,1.79,1.31,2024-05-22,02:56,T,54,6.1NRT,292.43,14.2,D
57.989,106.81931,305.09,1.75,1.3,2024-05-22,02:56,T,61,6.1NRT,291.69,12.8,D
57.9593,107.07521,305.49,1.7,1.28,2024-05-22,02:56,T,61,6.1NRT,289.88,13.08,D
57.94796,107.07225,331.42,1.7,1.28,2024-05-22,02:56,T,87,6.1NRT,291.26,66.33,D
57.94594,107.10068,305.39,1.7,1.28,2024-05-22,02:56,T,58,6.1NRT,289.66,13.04,D
57.87518,105.89484,326.94,1.9,1.35,2024-05-22,02:56,T,85,6.1NRT,289.89,66.44,D
57.86989,105.88805,328.29,1.9,1.35,2024-05-22,02:56,T,86,6.1NRT,291.5,70.38,D
57.73978,105.94711,315.41,1.89,1.34,2024-05-22,02:56,T,76,6.1NRT,292.07,31.27,D
54.45162,116.34246,360.1,1.03,1.02,2024-05-22,02:56,T,75,6.1NRT,280.7,88.3,D
55.45372,105.80178,303.6,1.8,1.31,2024-05-22,02:56,T,54,6.1NRT,288.31,12.33,D
55.44462,105.82042,300.47,1.79,1.31,2024-05-22,02:56,T,29,6.1NRT,289.11,8.33,D
52.32132,113.88316,347.32,1,1,2024-05-22,02:58,T,95,6.1NRT,294.46,52.2,D
52.31685,113.85155,334.93,1,1,2024-05-22,02:58,T,89,6.1NRT,296.84,31.62,D
52.31475,113.86568,325.36,1,1,2024-05-22,02:58,T,81,6.1NRT,293.7,19.5,D
50.97423,119.73138,300.85,1.52,1.22,2024-05-22,02:58,T,21,6.1NRT,287.41,6.7,D
54.5711,113.05547,307.57,1.02,1.01,2024-05-22,02:58,T,66,6.1NRT,290.75,6.18,D
49.57026,117.50735,318.47,1.32,1.14,2024-05-22,02:58,T,63,6.1NRT,298.63,13.37,D
51.31431,110.11621,303.11,1.09,1.04,2024-05-22,02:58,T,39,6.1NRT,288.32,5.56,D
50.85529,118.383,304.38,1.34,1.15,2024-05-22,02:58,T,35,6.1NRT,291.48,4.69,D
54.56907,113.07076,326.88,1.02,1.01,2024-05-22,02:58,T,85,6.1NRT,291.99,24.07,D
54.19378,113.23361,301.26,1.01,1.01,2024-05-22,02:58,T,29,6.1NRT,289.6,3.15,D
53.76873,114.07436,305.72,1,1,2024-05-22,02:58,T,43,6.1NRT,294.02,4.96,D
52.65833,118.41025,338.14,1.23,1.1,2024-05-22,02:58,T,84,6.1NRT,288.04,51.15,D
52.59497,117.20748,318.81,1.13,1.06,2024-05-22,02:58,T,79,6.1NRT,290.83,17.57,D
52.58591,117.20303,307.96,1.13,1.06,2024-05-22,02:58,T,25,6.1NRT,290.09,7.47,D
51.93576,118.75478,312.84,1.31,1.14,2024-05-22,02:58,T,0,6.1NRT,278.63,17.26,D
51.93982,118.67974,313.51,1.31,1.13,2024-05-22,02:58,T,40,6.1NRT,285.44,16.17,D
51.93645,118.69695,314.53,1.31,1.13,2024-05-22,02:58,T,59,6.1NRT,283.82,18.36,D
51.93295,118.71484,326.26,1.31,1.14,2024-05-22,02:58,T,78,6.1NRT,279.99,34.32,D
51.61613,118.54891,326.71,1.31,1.14,2024-05-22,02:58,T,74,6.1NRT,280.71,37,D
51.78253,117.43152,312.59,1.19,1.08,2024-05-22,02:58,T,25,6.1NRT,289.3,11.69,D
52.35812,113.88255,345.93,1,1,2024-05-22,02:58,T,94,6.1NRT,299.1,48.09,D
52.33445,113.91819,314.74,1,1,2024-05-22,02:58,T,16,6.1NRT,291.65,10.17,D
52.32789,113.90065,340.55,1,1,2024-05-22,02:58,T,92,6.1NRT,294.59,41.18,D
51.75523,114.88307,324.1,1.03,1.01,2024-05-22,02:58,T,70,6.1NRT,294.73,16.66,D
52.32553,113.85487,325.86,1,1,2024-05-22,02:58,T,78,6.1NRT,299.19,18.61,D
52.32343,113.86901,351.87,1,1,2024-05-22,02:58,T,97,6.1NRT,299.64,61.51,D
40.91922,113.10949,322.26,1.25,1.11,2024-05-22,03:00,T,46,6.1NRT,306.49,6.66,D
36.26561,111.91698,319.88,1.32,1.14,2024-05-22,03:00,T,49,6.1NRT,305.53,8.62,D
36.65544,109.59043,318.41,1.05,1.03,2024-05-22,03:00,T,53,6.1NRT,306.34,7.67,D
36.07648,111.64316,322.34,1.29,1.13,2024-05-22,03:00,T,73,6.1NRT,306.25,12.74,D
40.52919,113.01817,319.78,1.26,1.12,2024-05-22,03:00,T,36,6.1NRT,305.46,5.37,D
40.40028,112.98844,324.28,1.26,1.12,2024-05-22,03:00,T,64,6.1NRT,307.88,8.23,D
40.56896,111.86063,323.34,1.13,1.06,2024-05-22,03:00,T,55,6.1NRT,307.03,5.13,D
40.56564,110.5816,324.58,1.04,1.02,2024-05-22,03:00,T,42,6.1NRT,308.23,4.82,D
40.62051,109.7399,331.1,1.01,1,2024-05-22,03:00,T,73,6.1NRT,312,11.45,D
40.61878,109.75143,328.5,1.01,1,2024-05-22,03:00,T,68,6.1NRT,311.94,8.21,D
