latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.22371,140.16508,313.71,1.21,1.09,2024-04-11,01:28,T,53,6.1NRT,280.54,19.64,D
48.72361,135.27045,308.45,1.01,1.01,2024-04-11,01:30,T,0,6.1NRT,287.33,8.41,D
48.72568,135.25711,365.83,1.01,1.01,2024-04-11,01:30,T,0,6.1NRT,288.61,105.25,D
48.72249,135.39674,310.66,1.02,1.01,2024-04-11,01:30,T,61,6.1NRT,288.88,8.84,D
48.72457,135.38338,310.98,1.02,1.01,2024-04-11,01:30,T,67,6.1NRT,289.45,9.36,D
49.83107,125.17145,305.57,2.12,1.42,2024-04-11,01:30,T,62,6.1NRT,287.46,19.3,D
48.72709,135.42659,308.27,1.02,1.01,2024-04-11,01:30,T,35,6.1NRT,288.08,7.16,D
49.02216,134.33853,302.86,1,1,2024-04-11,01:30,T,51,6.1NRT,283.18,6.61,D
50.16088,124.81731,300.92,2.23,1.45,2024-04-11,01:30,T,42,6.1NRT,289.05,11.21,D
49.88492,128.85979,313.15,1.4,1.17,2024-04-11,01:30,T,73,6.1NRT,288.07,19.46,D
50.32648,128.11324,306.44,1.54,1.22,2024-04-11,01:30,T,63,6.1NRT,288.06,12.45,D
49.32856,136.46051,302.97,1.05,1.02,2024-04-11,01:30,T,41,6.1NRT,283.72,6.44,D
50.0414,132.11302,300.5,1.08,1.04,2024-04-11,01:30,T,38,6.1NRT,281.84,7.01,D
50.74609,127.84484,304.02,1.6,1.25,2024-04-11,01:30,T,55,6.1NRT,288.4,11.59,D
50.74796,127.82244,304.4,1.6,1.25,2024-04-11,01:30,T,43,6.1NRT,288.96,11.31,D
50.71442,129.43307,302.08,1.36,1.15,2024-04-11,01:30,T,18,6.1NRT,287.04,5.19,D
50.73165,129.44385,305.51,1.36,1.15,2024-04-11,01:30,T,55,6.1NRT,285.33,8.68,D
48.71898,135.24074,303.01,1.01,1.01,2024-04-11,01:30,T,0,6.1NRT,284.71,5.27,D
49.91203,136.08743,301.35,1.02,1.01,2024-04-11,01:30,T,14,6.1NRT,285.19,4.64,D
49.91864,136.10451,315.24,1.02,1.01,2024-04-11,01:30,T,76,6.1NRT,285.19,14.36,D
50.82207,128.92795,309.88,1.43,1.18,2024-04-11,01:30,T,54,6.1NRT,286.89,13.53,D
50.8393,128.97241,343.21,1.42,1.18,2024-04-11,01:30,T,93,6.1NRT,284.56,80.46,D
50.84116,128.95245,352.27,1.43,1.18,2024-04-11,01:30,T,97,6.1NRT,284.82,109.22,D
50.84976,128.97467,348.73,1.42,1.18,2024-04-11,01:30,T,95,6.1NRT,286.99,95.38,D
50.85163,128.95473,353.6,1.43,1.18,2024-04-11,01:30,T,97,6.1NRT,287.75,111,D
50.8535,128.93472,374.81,1.43,1.18,2024-04-11,01:30,T,100,6.1NRT,290.56,217.8,D
50.84453,128.97946,343.77,1.42,1.18,2024-04-11,01:30,T,54,6.1NRT,285.41,74.83,D
50.84631,128.95949,381.63,1.43,1.18,2024-04-11,01:30,T,100,6.1NRT,289,259.06,D
50.84809,128.93947,346.26,1.43,1.18,2024-04-11,01:30,T,62,6.1NRT,285.95,82.63,D
50.85499,128.98175,322.69,1.42,1.18,2024-04-11,01:30,T,35,6.1NRT,285.45,29.74,D
50.85857,128.94176,376.66,1.43,1.18,2024-04-11,01:30,T,100,6.1NRT,289.57,229.84,D
51.57999,128.7234,308.46,1.49,1.21,2024-04-11,01:30,T,58,6.1NRT,287.91,15.22,D
51.59069,128.72568,344,1.49,1.21,2024-04-11,01:30,T,0,6.1NRT,287.15,89.78,D
51.59399,128.73224,316.04,1.49,1.21,2024-04-11,01:30,T,0,6.1NRT,284.12,24.79,D
49.90985,136.10121,313.29,1.02,1.01,2024-04-11,01:30,T,73,6.1NRT,285.75,12.81,D
47.8924,135.57086,314.53,1.04,1.02,2024-04-11,01:32,T,75,6.1NRT,287.13,14.49,D
48.94608,126.82925,303.92,1.7,1.28,2024-04-11,01:32,T,57,6.1NRT,284.89,14.01,D
48.94574,126.81291,301.84,1.71,1.28,2024-04-11,01:32,T,49,6.1NRT,284.55,12.78,D
47.94593,135.46916,300.6,1.03,1.01,2024-04-11,01:32,T,39,6.1NRT,287.13,4.03,D
47.94805,135.45583,301.82,1.03,1.01,2024-04-11,01:32,T,49,6.1NRT,287.13,4.62,D
48.04626,135.42572,332.87,1.03,1.01,2024-04-11,01:32,T,45,6.1NRT,289.53,29.43,D
48.04837,135.41241,341.35,1.03,1.01,2024-04-11,01:32,T,74,6.1NRT,289.46,43.27,D
48.05507,135.4288,339.18,1.03,1.01,2024-04-11,01:32,T,77,6.1NRT,288.22,40.59,D
48.05718,135.41548,365.05,1.03,1.01,2024-04-11,01:32,T,100,6.1NRT,291.01,101.21,D
49.00908,128.06969,300.44,1.48,1.2,2024-04-11,01:32,T,37,6.1NRT,285.58,7.52,D
49.0126,128.07722,308.89,1.48,1.2,2024-04-11,01:32,T,68,6.1NRT,285.77,16.04,D
48.52471,133.18813,318.44,1.01,1,2024-04-11,01:32,T,78,6.1NRT,284.08,18.2,D
48.52653,133.17482,313.16,1.01,1,2024-04-11,01:32,T,73,6.1NRT,283.14,13.49,D
48.53366,133.19688,327.47,1.01,1,2024-04-11,01:32,T,85,6.1NRT,284.96,26.37,D
48.53548,133.18356,359.25,1.01,1,2024-04-11,01:32,T,99,6.1NRT,288.86,85.67,D
49.191,127.82784,313.41,1.53,1.22,2024-04-11,01:32,T,74,6.1NRT,287,22.17,D
49.19282,127.80708,355.17,1.54,1.22,2024-04-11,01:32,T,98,6.1NRT,290.05,139.08,D
48.65834,132.88596,310.31,1.02,1.01,2024-04-11,01:32,T,70,6.1NRT,281.34,11.39,D
48.66677,132.89507,303.47,1.02,1.01,2024-04-11,01:32,T,52,6.1NRT,281.66,6.51,D
48.66856,132.88158,320.9,1.02,1.01,2024-04-11,01:32,T,80,6.1NRT,283.41,20.05,D
49.16965,129.03496,319.88,1.35,1.15,2024-04-11,01:32,T,80,6.1NRT,286.17,28.51,D
48.50996,134.58786,310.89,1,1,2024-04-11,01:32,T,71,6.1NRT,284.32,10.97,D
48.50932,134.66266,308.22,1,1,2024-04-11,01:32,T,67,6.1NRT,283.7,9.33,D
48.5113,134.64951,301.75,1,1,2024-04-11,01:32,T,49,6.1NRT,283.77,5.22,D
49.21462,128.97586,309.59,1.36,1.15,2024-04-11,01:32,T,69,6.1NRT,284.8,15.54,D
48.61618,134.18748,304.37,1,1,2024-04-11,01:32,T,59,6.1NRT,284.92,6.28,D
48.57011,134.80775,300.11,1.01,1,2024-04-11,01:32,T,26,6.1NRT,283.64,4.45,D
48.62251,134.5274,303.01,1,1,2024-04-11,01:32,T,54,6.1NRT,285.94,5.79,D
48.59721,134.87915,311.98,1.01,1,2024-04-11,01:32,T,68,6.1NRT,284.85,11.76,D
48.59922,134.86594,303.41,1.01,1,2024-04-11,01:32,T,45,6.1NRT,284.98,5.79,D
48.59792,134.93501,302.52,1.01,1,2024-04-11,01:32,T,46,6.1NRT,283.92,5.5,D
48.6437,134.63132,310.44,1,1,2024-04-11,01:32,T,44,6.1NRT,285.06,9.43,D
48.6651,134.61078,308.79,1,1,2024-04-11,01:32,T,51,6.1NRT,283.23,9.02,D
49.47293,128.01285,300.87,1.51,1.21,2024-04-11,01:32,T,42,6.1NRT,287.76,6.32,D
46.13657,132.11195,300.43,1.02,1.01,2024-04-11,01:32,T,31,6.1NRT,286.48,3.11,D
48.03093,127.92729,327.34,1.46,1.2,2024-04-11,01:32,T,53,6.1NRT,279.9,39.88,D
48.32093,123.65739,312.39,2.47,1.51,2024-04-11,01:32,T,72,6.1NRT,298.28,19.94,D
48.01783,128.12587,328.72,1.43,1.18,2024-04-11,01:32,T,71,6.1NRT,284.49,42.29,D
48.01957,128.10677,352.53,1.44,1.19,2024-04-11,01:32,T,97,6.1NRT,286.39,111.87,D
48.02824,128.01126,309.26,1.45,1.19,2024-04-11,01:32,T,63,6.1NRT,284.7,15.16,D
48.03518,127.93423,321.72,1.46,1.2,2024-04-11,01:32,T,75,6.1NRT,282.29,31.56,D
48.02831,128.12796,327.49,1.43,1.18,2024-04-11,01:32,T,85,6.1NRT,284.3,43.01,D
48.03006,128.10893,309.67,1.44,1.19,2024-04-11,01:32,T,29,6.1NRT,284.23,14.62,D
48.03878,128.01344,310.71,1.45,1.19,2024-04-11,01:32,T,70,6.1NRT,284.17,17.4,D
48.38481,123.73045,317.58,2.45,1.51,2024-04-11,01:32,T,78,6.1NRT,296.83,35.71,D
47.79447,131.1906,308.5,1.09,1.04,2024-04-11,01:32,T,52,6.1NRT,279.64,10.74,D
47.42806,134.05188,306.49,1,1,2024-04-11,01:32,T,64,6.1NRT,284.04,8.31,D
47.78815,131.62297,309.05,1.06,1.03,2024-04-11,01:32,T,61,6.1NRT,285.04,8.87,D
47.78989,131.60915,307.11,1.06,1.03,2024-04-11,01:32,T,59,6.1NRT,287.59,7.03,D
47.91548,131.92645,300.04,1.05,1.02,2024-04-11,01:32,T,23,6.1NRT,286.36,3.07,D
48.48004,126.55315,311.55,1.74,1.29,2024-04-11,01:32,T,71,6.1NRT,285.22,21.65,D
48.49151,126.55521,310.01,1.74,1.29,2024-04-11,01:32,T,69,6.1NRT,287.77,19.52,D
48.51046,126.46368,300.89,1.76,1.3,2024-04-11,01:32,T,43,6.1NRT,287.59,7.35,D
48.51234,126.44012,305.4,1.76,1.3,2024-04-11,01:32,T,61,6.1NRT,286.62,12.83,D
48.50721,126.46912,302.5,1.76,1.3,2024-04-11,01:32,T,31,6.1NRT,286.48,8.84,D
48.50895,126.44553,307.71,1.76,1.3,2024-04-11,01:32,T,64,6.1NRT,285.73,15.59,D
48.59172,126.43523,300.96,1.77,1.3,2024-04-11,01:32,T,43,6.1NRT,285.22,10.22,D
47.99683,132.57796,303.38,1.02,1.01,2024-04-11,01:32,T,56,6.1NRT,286.46,5.59,D
48.2478,132.28506,304,1.04,1.02,2024-04-11,01:32,T,25,6.1NRT,282.09,6.21,D
48.80666,127.27379,304.79,1.61,1.25,2024-04-11,01:32,T,60,6.1NRT,285.82,13.29,D
48.80693,127.27983,305.62,1.61,1.25,2024-04-11,01:32,T,62,6.1NRT,285.84,13.43,D
49.0145,124.14866,308.07,2.36,1.48,2024-04-11,01:32,T,43,6.1NRT,292.63,18.16,D
48.86392,127.13435,302.66,1.64,1.26,2024-04-11,01:32,T,53,6.1NRT,285.88,11.75,D
48.91379,126.80023,300.32,1.71,1.28,2024-04-11,01:32,T,35,6.1NRT,284.53,10.94,D
48.31661,132.53593,325.36,1.03,1.01,2024-04-11,01:32,T,84,6.1NRT,287.4,24.64,D
48.31839,132.52242,311.82,1.03,1.01,2024-04-11,01:32,T,72,6.1NRT,285.87,11.68,D
48.32371,132.55199,327.91,1.03,1.01,2024-04-11,01:32,T,85,6.1NRT,285.61,27.01,D
48.3255,132.53848,333.51,1.03,1.01,2024-04-11,01:32,T,89,6.1NRT,286.4,34.81,D
47.89026,135.58426,319.37,1.04,1.02,2024-04-11,01:32,T,79,6.1NRT,287.34,19.08,D
43.86644,131.13374,308.33,1.02,1.01,2024-04-11,01:32,T,60,6.1NRT,287.09,6.82,D
